country,iso3,region_un,unit,nh3_urea,nh3_total,share_nh3_from_urea
Guinea-Bissau,GNB,Africa,kt/year,1.9026742065129314,30.472016018833006,0.0624400500884811
Guinea,GIN,Africa,kt/year,0.7883605102483251,52.05866086081485,0.015143695539078553
Guatemala,GTM,Americas,kt/year,10.080358223836217,42.9294094034922,0.2348124133060215
Grenada,GRD,Americas,kt/year,0,0,NA
Greece,GRC,Europe,kt/year,2.8285712921637822,61.49352434349589,0.045997872497333246
Ghana,GHA,Africa,kt/year,4.788149892929401,117.53759347149791,0.040737178221115236
Germany,DEU,Europe,kt/year,56.43311791949651,575.1552908026927,0.09811805406629898
Georgia,GEO,Asia,kt/year,0.012597947717433172,17.289001000371982,7.286683433682559e-4
Gambia,GMB,Africa,kt/year,1.882195671937369,72.14623438231133,0.02608861970485381
Gabon,GAB,Africa,kt/year,0.10086719125953957,2.5000932853223556,0.04034537105143819
St. Pierre & Miquelon,SPM,Americas,kt/year,0.0789242494893442,0.408662499635835,0.19312819150197225
Wallis & Futuna,WLF,Oceania,kt/year,0,0,NA
Saint Martin (French part),MAF,Americas,kt/year,0,0,NA
St. Barthélemy,BLM,Americas,kt/year,0,0,NA
French Polynesia,PYF,Oceania,kt/year,0,0,NA
New Caledonia,NCL,Oceania,kt/year,0.010667450450276809,0.11750140042235392,0.09078573031413328
French Southern Territories,ATF,Africa,kt/year,0,0,NA
Åland Islands,ALA,Europe,kt/year,8.217623768712666e-6,0.013111740332643711,6.267378364909819e-4
Finland,FIN,Europe,kt/year,0.0056722590696117615,20.389442559197516,2.781958875601065e-4
Fiji,FJI,Oceania,kt/year,0.5958596479576752,6.57375977723675,0.09064213907252663
Ethiopia,ETH,Africa,kt/year,10.413527930608396,829.7793134949238,0.012549756014943243
Estonia,EST,Europe,kt/year,0.08747343313756664,4.295101493580724,0.02036585940246132
Eritrea,ERI,Africa,kt/year,0.51964104115512,45.777022367770606,0.011351569286886912
Equatorial Guinea,GNQ,Africa,kt/year,1.0881402083606395,13.992287020335919,0.0777671446261196
El Salvador,SLV,Americas,kt/year,11.999033162218858,62.57162020557206,0.1917647828647776
Egypt,EGY,Africa,kt/year,36.221271195233875,192.8391233547456,0.18783154872884097
Ecuador,ECU,Americas,kt/year,9.809825774696487,103.69367790490355,0.09460389459512643
Dominican Republic,DOM,Americas,kt/year,12.430106107635385,158.69900196416577,0.07832504271477461
Dominica,DMA,Americas,kt/year,0,0,NA
Djibouti,DJI,Africa,kt/year,0.013027021556252183,15.563633316061471,8.370167358548895e-4
Greenland,GRL,Americas,kt/year,0,0,NA
Faroe Islands,FRO,Europe,kt/year,0,0,NA
Denmark,DNK,Europe,kt/year,0.23068660809185787,76.39763006438665,0.0030195518878980807
Czechia,CZE,Europe,kt/year,12.84032848408345,54.48615548449621,0.23566222226372915
Cyprus,CYP,Asia,kt/year,0.9230597258098079,16.274927015445027,0.05671667374814138
Cuba,CUB,Americas,kt/year,9.298224426835999,109.03752173650936,0.08527545636359274
Croatia,HRV,Europe,kt/year,4.027443754284582,28.246432214143898,0.14258238788358948
Côte d’Ivoire,CIV,Africa,kt/year,2.9828730564956953,31.911203899028617,0.09347416242689906
Costa Rica,CRI,Americas,kt/year,2.453141801168938,22.764824104957388,0.10776019133109528
Congo - Kinshasa,COD,Africa,kt/year,19.696542312501087,117.04127907476332,0.16828714166665404
Congo - Brazzaville,COG,Africa,kt/year,1.7853520171379054,8.724213042689735,0.2046433309688491
Comoros,COM,Africa,kt/year,0,0,NA
